timestamp,latitude,longitude,region,shoreline_position,erosion_rate,accretion_rate,net_shoreline_change,beach_width,beach_volume,dune_height,dune_width,cliff_retreat_rate,rock_strength,sediment_grain_size,sediment_composition,sand_supply,sediment_transport_rate,longshore_transport_rate,cross_shore_transport_rate,wave_height,wave_period,wave_direction,wave_energy,tidal_range,storm_surge_frequency,wind_speed,wind_direction,rainfall_intensity,runoff_volume,sea_level_rise,relative_sea_level_change,subsidence_rate,vegetation_cover,vegetation_health,root_density,bioturbation_index,human_activity,coastal_development,tourist_traffic,seawall_presence,seawall_condition,groyn_presence,beach_nourishment,protection_effectiveness,vulnerability_index,risk_assessment,economic_value,infrastructure_at_risk,property_damage_risk,evacuation_plan,community_preparedness,erosion_prediction_1_year,erosion_prediction_5_year,erosion_prediction_10_year,adaptation_cost,cost_benefit_ratio,monitoring_frequency,data_reliability,battery_level,signal_strength
2025-08-29T20:20:15.731Z,22.2612,71.1783,Gujarat Coast,63.31,1.906,0.407,-1.434,28.37,567.43,5.27,13.98,0.891,41.33,0.290,Coral,41.45,42.82,51.94,21.41,4.75,12.49,196.0,709.27,2.21,0.246,43.11,244.6,50.36,23.38,4.43,4.54,1.427,50.42,Fair,45.12,0.582,High,0.540,46.75,Present,Fair,Absent,None,0.212,0.703,High,558685.06,Buildings,367762.45,Active,Low,2.24,10.01,19.30,1573343.94,1.41,Daily,1.000,70.6,-14.9
2025-08-29T19:50:15.733Z,21.6578,69.6535,Porbandar,69.72,1.839,0.360,-0.960,32.22,644.33,5.79,15.56,0.787,47.77,0.229,Silt,46.58,36.40,56.02,18.20,4.23,11.41,180.1,606.44,1.88,0.135,39.25,257.0,62.29,19.53,4.33,4.31,1.018,47.09,Fair,49.14,0.529,High,0.449,39.06,Present,Good,Absent,Recent,0.314,0.583,High,635590.90,Roads,303674.25,Standby,Low,1.71,7.16,15.70,1023190.20,1.76,Daily,0.960,65.3,-16.6
2025-08-29T19:20:15.733Z,22.2277,68.9675,Dwarka,78.20,1.004,0.700,-0.332,37.31,746.15,5.78,18.06,0.350,44.07,0.275,Sand,53.37,21.88,46.73,10.94,2.95,9.75,183.9,350.13,1.70,0.098,28.13,249.0,56.93,14.44,3.61,3.89,1.123,62.88,Good,49.08,0.484,Moderate,0.396,28.88,Absent,N/A,Absent,None,0.900,0.417,Moderate,737406.21,Roads,218828.16,Standby,Moderate,0.92,5.87,8.68,699268.27,1.80,Weekly,0.941,77.9,-13.8
2025-08-29T18:50:15.733Z,22.4712,70.0435,Jamnagar,53.06,2.517,0.014,-2.193,22.22,444.40,4.39,10.46,0.752,48.58,0.265,Gravel,33.25,47.03,70.02,23.51,4.96,14.44,183.5,752.45,2.38,0.232,43.22,235.3,61.35,29.53,4.85,4.60,1.794,39.98,Fair,29.55,0.636,High,0.616,59.06,Present,Poor,Present,Recent,0.048,0.855,Critical,435662.13,Buildings,470281.56,Active,Low,2.59,12.05,21.52,2047775.34,1.17,Daily,0.899,70.8,-33.7
2025-08-29T18:20:15.734Z,21.7701,72.1767,Bhavnagar,63.92,1.716,0.271,-1.389,28.74,574.74,5.06,12.71,0.579,56.98,0.248,Gravel,41.94,36.17,58.83,18.08,4.09,12.28,163.8,578.66,2.30,0.202,36.70,239.0,54.93,23.01,4.48,4.27,1.312,46.67,Fair,45.82,0.562,High,0.594,46.02,Present,Fair,Present,None,0.221,0.687,High,566005.14,Buildings,361662.38,Active,Low,2.32,9.05,17.23,1367215.64,1.21,Daily,0.867,90.3,-31.7
2025-08-29T17:50:15.734Z,20.9255,70.2189,Veraval,68.35,1.831,0.306,-1.061,31.39,627.88,5.73,15.19,0.508,49.92,0.226,Sand,45.48,31.74,62.73,15.87,3.74,12.64,209.3,507.82,2.38,0.230,34.04,200.5,44.97,20.35,3.89,3.91,1.106,46.66,Fair,42.79,0.532,High,0.391,40.71,Present,Good,Absent,None,0.292,0.549,High,619136.69,Roads,317386.09,Standby,Low,1.96,8.18,18.21,1206066.07,1.37,Daily,0.995,80.8,-16.1
2025-08-29T17:20:15.734Z,23.0040,72.5880,Ahmedabad Coast,88.04,0.675,1.016,0.396,43.21,864.22,6.75,21.35,0.193,58.04,0.252,Gravel,61.24,12.04,38.66,6.02,2.16,9.79,207.3,192.69,2.26,0.060,22.23,230.9,55.40,8.54,3.47,3.40,0.637,65.27,Good,58.59,0.366,Low,0.074,17.07,Absent,N/A,Absent,None,0.900,0.192,Low,855483.81,None,120430.16,Standby,High,0.38,3.96,4.92,574882.29,2.34,Monthly,0.923,78.8,-32.2
2025-08-29T16:50:15.734Z,22.2456,71.1874,Gujarat Coast,59.35,2.139,0.260,-1.727,26.00,519.92,5.01,12.16,0.652,42.00,0.373,Sand,38.29,40.73,60.64,20.37,4.46,12.92,209.6,651.76,2.09,0.200,39.44,202.6,56.71,25.75,4.59,4.56,1.432,43.48,Fair,40.97,0.637,High,0.493,51.50,Present,Poor,Absent,None,0.148,0.729,Critical,511182.60,Buildings,407347.83,Active,Low,2.36,9.79,18.11,1625493.89,1.37,Daily,0.973,94.7,-23.7
2025-08-29T16:20:15.735Z,21.6227,69.6505,Porbandar,86.23,0.732,0.860,0.262,42.12,842.48,6.64,19.48,0.222,57.64,0.267,Mixed,59.79,13.85,48.30,6.93,2.31,9.29,168.7,221.68,2.44,0.072,23.31,245.6,59.60,9.62,3.56,3.37,0.674,72.92,Good,59.49,0.426,Low,0.248,19.25,Absent,N/A,Absent,Recent,0.900,0.217,Moderate,833742.19,None,138548.18,Standby,High,0.80,1.93,4.70,578589.64,1.89,Monthly,0.948,88.0,-22.9
2025-08-29T15:50:15.735Z,22.2539,68.9485,Dwarka,89.56,0.749,1.043,0.509,44.12,882.44,7.44,21.25,0.168,52.87,0.306,Coral,62.45,10.52,31.98,5.26,2.04,8.95,202.5,168.39,2.38,0.021,21.31,251.6,48.82,7.63,3.54,3.69,0.420,73.90,Good,66.29,0.377,Low,0.081,15.25,Absent,N/A,Present,None,0.900,0.227,Low,873705.59,None,105245.34,Standby,High,0.49,3.80,5.10,343802.47,2.24,Monthly,0.884,62.8,-32.1
