timestamp,latitude,longitude,region,central_pressure,pressure_trend,sea_level_pressure,wind_speed,wind_direction,wind_gusts,wind_shear,sea_surface_temp,wave_height,tidal_level,current_speed,salinity,air_temperature,humidity,precipitation,visibility,cloud_cover,cloud_top_temp,vorticity,divergence,convective_activity,cyclone_formation_probability,intensification_rate,landfall_eta,cyclone_category,data_reliability,battery_level,signal_strength
2025-08-29T19:39:46.584Z,22.3353,71.1628,Gujarat Coast,973.07,-2.392,981.16,161.06,193.8,191.42,12.05,30.24,8.87,3.67,2.47,34.9,31.25,98.6,54.18,2.1,89.1,-69.53,0.000984,-0.000492,0.788,0.95,0.961,24,4,0.85,99.7,-39.7
2025-08-29T19:09:46.585Z,21.66,69.5362,Porbandar,1006.47,0.234,1008.49,42.67,188.3,42.26,19.19,26.88,1.53,1.99,0.79,35.35,28.74,71.5,-2.32,8.8,38.8,-44.38,0.000146,-7.3e-05,0.117,0.175,0.0,28,0,0.861,74.0,-45.8
2025-08-29T18:39:46.585Z,22.2207,68.9789,Dwarka,974.63,-1.073,982.4,158.66,192.7,196.71,12.81,29.91,7.23,3.5,2.3,34.61,31.0,89.2,40.81,2.8,84.1,-67.05,0.000902,-0.000451,0.721,0.95,0.754,26,3,0.944,73.5,-40.9
2025-08-29T18:09:46.585Z,22.5098,70.0258,Jamnagar,984.88,-1.074,992.35,118.62,184.2,143.4,10.44,28.96,7.22,3.03,1.83,34.96,30.29,83.0,36.35,4.7,69.9,-59.95,0.000665,-0.000332,0.532,0.798,0.162,28,3,0.863,75.2,-45.2
2025-08-29T17:39:46.585Z,21.8001,72.1036,Bhavnagar,976.25,-1.386,982.2,156.12,151.9,188.49,5.17,30.05,9.11,3.57,2.37,34.63,31.11,90.2,39.28,2.5,86.2,-68.1,0.000937,-0.000468,0.749,0.95,0.841,26,3,0.918,90.9,-33.8
2025-08-29T17:09:46.585Z,20.8394,70.2555,Veraval,1010.84,-0.872,1013.79,25.61,203.3,26.62,10.5,26.59,2.23,1.85,0.65,35.22,28.52,75.1,-3.37,9.4,34.4,-42.18,7.3e-05,-3.6e-05,0.058,0.087,0.0,28,0,0.963,99.6,-36.2
2025-08-29T16:39:46.585Z,22.934,72.5229,Ahmedabad Coast,1010.86,-0.751,1012.51,33.87,164.9,40.28,14.54,26.7,2.54,1.9,0.7,34.93,28.6,70.5,3.45,9.2,36.1,-43.04,0.000101,-5.1e-05,0.081,0.121,0.0,28,0,0.95,91.7,-41.1
2025-08-29T16:09:46.585Z,22.3056,71.2605,Gujarat Coast,990.59,-0.854,993.64,99.21,183.6,134.06,11.98,28.63,5.88,2.86,1.66,34.78,30.04,84.1,25.74,5.3,64.9,-57.44,0.000581,-0.000291,0.465,0.698,0.0,28,2,0.923,72.5,-36.7
2025-08-29T15:39:46.585Z,21.5845,69.7273,Porbandar,1000.42,-1.385,1001.94,73.64,195.7,104.45,7.14,27.81,3.78,2.45,1.25,34.71,29.43,82.0,16.13,7.0,52.6,-51.3,0.000377,-0.000188,0.301,0.452,0.0,28,1,0.961,99.3,-35.0
2025-08-29T15:09:46.585Z,22.266,68.9467,Dwarka,1005.13,-0.243,1006.85,63.03,187.5,67.33,8.74,27.23,3.28,2.17,0.97,34.52,29.0,75.0,14.65,8.1,44.0,-47.0,0.000233,-0.000117,0.187,0.28,0.0,28,0,0.99,90.0,-31.7
2025-08-29T14:39:46.585Z,22.5225,70.1527,Jamnagar,982.14,-1.911,989.81,134.95,151.0,165.24,12.86,29.28,7.46,3.19,1.99,35.44,30.53,91.0,40.93,4.0,74.7,-62.34,0.000745,-0.000372,0.596,0.894,0.362,30,3,0.874,80.3,-43.5
2025-08-29T14:09:46.586Z,21.8546,72.2418,Bhavnagar,1000.89,-0.385,1005.46,58.78,203.8,76.45,16.02,27.5,3.16,2.3,1.1,34.67,29.2,80.1,12.01,7.6,48.1,-49.03,0.000301,-0.00015,0.241,0.361,0.0,28,1,0.863,71.6,-34.0
2025-08-29T13:39:46.586Z,21.0132,70.2903,Veraval,981.15,-1.735,985.8,155.7,183.7,170.98,10.26,29.71,7.53,3.41,2.2,35.19,30.86,90.9,48.11,3.2,81.1,-65.57,0.000852,-0.000426,0.682,0.95,0.631,28,3,0.977,72.9,-42.9
