timestamp,latitude,longitude,region,pH,dissolved_oxygen,biochemical_oxygen_demand,chemical_oxygen_demand,total_suspended_solids,turbidity,nitrates,nitrites,ammonia,phosphates,sulfates,chlorides,heavy_metals_index,mercury,lead,cadmium,chromium,copper,zinc,pesticides_index,hydrocarbon_index,oil_spill_indicator,plastic_debris_count,microplastics_count,bacterial_count,coliform_count,viral_load,algal_bloom_risk,eutrophication_index,toxicity_level,temperature,salinity,conductivity,redox_potential,seabirds_affected,fish_mortality_rate,coral_bleaching_index,pollution_source,industrial_waste_indicator,agricultural_runoff_index,domestic_sewage_index,stormwater_runoff_index,ship_traffic_impact,remediation_efficiency,treatment_capacity,compliance_status,risk_level,data_reliability,battery_level,signal_strength
2025-08-29T20:20:11.893Z,22.2782,71.1542,Gujarat Coast,6.84,6.76,9.48,36.10,120.40,36.91,6.366,1.317,2.384,2.768,303.60,20111.26,0.5255,0.001356,0.02915,0.00543,0.0597,0.1399,0.3671,0.4252,0.5986,0.0000,56,212,13777,2755,492.56,0.5357,0.5851,Very High,27.65,36.47,54142.23,87.37,13,0.0898,0.3322,Industrial,0.5429,0.3957,0.7748,0.2373,0.1958,0.4628,66.82,Warning,High,0.926,88.0,-35.9
2025-08-29T19:50:11.895Z,21.6563,69.6229,Porbandar,6.69,6.35,12.24,43.26,140.05,41.35,7.552,1.764,2.860,3.488,288.65,20553.34,0.6195,0.001612,0.04358,0.00743,0.0737,0.1466,0.3766,0.5215,0.7273,0.6519,61,231,15021,3004,544.56,0.5251,0.6620,Critical,27.93,36.19,54989.35,95.84,16,0.1281,0.4137,Urban Runoff,0.6519,0.4954,0.7020,0.5484,0.2846,0.4495,58.37,Non-Compliant,Extreme,0.979,93.6,-28.4
2025-08-29T19:20:11.895Z,22.2610,69.0177,Dwarka,6.94,6.93,9.75,35.00,117.71,29.42,4.866,1.253,2.193,2.447,265.59,19425.71,0.4110,0.001314,0.03094,0.00506,0.0571,0.1110,0.3230,0.3617,0.5568,0.0000,41,158,10285,2057,379.42,0.5036,0.4918,Very High,27.54,36.18,52829.40,126.35,12,0.0757,0.4389,Agricultural,0.1871,0.5269,0.3233,0.4104,0.2713,0.5060,63.18,Warning,High,0.955,81.8,-24.3
2025-08-29T18:50:11.895Z,22.4608,70.0921,Jamnagar,6.88,6.86,10.21,35.79,121.25,38.38,6.091,1.294,1.929,3.095,298.69,20152.05,0.4411,0.001270,0.02857,0.00607,0.0674,0.1167,0.3695,0.3344,0.6464,0.0000,59,220,14309,2861,505.77,0.3750,0.5419,Very High,27.59,36.12,53577.44,125.21,12,0.0850,0.3090,Industrial,0.5172,0.3906,0.7493,0.4029,0.3396,0.4927,66.49,Warning,High,0.896,94.9,-27.8
2025-08-29T18:20:11.895Z,21.7827,72.1355,Bhavnagar,7.09,7.16,9.12,34.43,114.67,28.04,5.360,1.307,1.672,2.286,264.77,19346.25,0.4066,0.001092,0.02912,0.00398,0.0560,0.1333,0.3066,0.4030,0.5858,0.0000,42,159,10316,2063,372.72,0.3503,0.4597,High,27.39,35.78,52758.43,131.76,10,0.0911,0.2564,Agricultural,0.1641,0.4240,0.3784,0.3246,0.2146,0.5431,70.64,Warning,High,0.997,98.6,-27.4
2025-08-29T17:50:11.896Z,20.8843,70.2191,Veraval,7.70,8.54,2.64,12.71,35.45,13.39,1.706,0.296,0.541,0.932,189.91,18478.39,0.1152,0.000228,0.00744,0.00156,0.0165,0.0156,0.0782,0.0837,0.1351,0.0000,12,43,2812,562,95.40,0.0065,0.0913,Low,26.47,35.15,49985.20,197.24,1,0.0011,0.1167,Natural/Background,0.0261,-0.0303,0.1537,0.1570,-0.0469,0.7615,83.46,Compliant,Low,0.893,98.3,-21.5
2025-08-29T17:20:11.896Z,23.0316,72.5230,Ahmedabad Coast,6.13,5.83,14.68,46.62,179.47,50.93,8.783,1.978,3.042,4.206,339.66,20928.95,0.8478,0.002079,0.05250,0.01092,0.0948,0.1873,0.5423,0.5886,0.9757,0.7901,58,229,14871,2974,557.19,0.6163,0.7975,Critical,28.27,37.44,55825.96,34.07,19,0.1509,0.5060,Agricultural,0.2963,0.6413,0.3705,0.4148,0.4624,0.4238,56.05,Non-Compliant,Extreme,0.961,80.1,-31.7
2025-08-29T16:50:11.896Z,22.2454,71.1754,Gujarat Coast,6.40,6.15,12.29,47.22,164.86,43.49,7.157,1.777,3.065,3.866,318.90,20529.82,0.7221,0.001688,0.04181,0.00747,0.0800,0.1855,0.4746,0.5489,0.7991,0.7065,45,180,11694,2338,448.81,0.7146,0.6744,Critical,28.06,36.51,54622.11,78.91,17,0.1348,0.4781,Agricultural,0.2649,0.5352,-0.0505,0.4626,0.2595,0.3900,60.17,Non-Compliant,Extreme,0.924,98.2,-30.0
2025-08-29T16:20:11.896Z,21.6913,69.6574,Porbandar,7.03,7.12,7.80,30.33,98.16,29.28,4.808,1.325,2.031,2.720,246.17,19879.80,0.4354,0.000976,0.02848,0.00644,0.0628,0.1228,0.2983,0.3142,0.5766,0.0000,36,141,9162,1832,338.46,0.4806,0.5193,High,27.42,36.19,52887.07,101.47,11,0.0908,0.3246,Agricultural,0.1680,0.4192,0.2526,0.2321,0.2146,0.6521,72.02,Warning,High,0.893,91.8,-24.0
2025-08-29T15:50:11.896Z,22.2159,69.0043,Dwarka,6.82,6.45,12.23,39.17,150.82,35.94,6.666,1.632,2.492,3.256,297.26,20712.17,0.6889,0.001390,0.04115,0.00931,0.0829,0.1332,0.3755,0.4398,0.7038,0.6260,51,198,12890,2578,475.62,0.5654,0.6034,Very High,27.86,36.20,53882.03,96.30,15,0.1098,0.4663,Agricultural,0.2347,0.6081,0.4311,0.4729,0.3252,0.5660,59.48,Non-Compliant,Extreme,0.990,75.7,-38.8
